user_id,profession,education,ethnicity,origin,birthday,gender,followers,activity,repost,age,log_followers,sovereignty_repost,nationalism_repost,party_line_repost,culture_repost,gov_announcement_repost,moral_society_repost,non_political_repost
0,Actor/Actress,High School,False,True,1974-05-19,False,6216000,475,25,51,15.64263717,2,9,1,2,4,5,2
1,Idol,High School,False,False,2000-11-22,False,6130000,737,50,25,15.62870531,6,33,0,2,6,3,0
2,Actor/Actress,High School,False,False,1999-03-25,False,14731000,14,1,26,16.50546467,1,0,0,0,0,0,0
3,Singer,High School,False,True,1982-04-13,True,692000,65,2,43,13.44734123,1,0,0,1,0,0,0
4,Actor/Actress,Bachelor,False,False,1981-05-29,True,20547000,616,16,44,16.8382255,1,6,0,3,3,1,2
5,Actor/Actress,Bachelor,False,False,1977-10-16,True,3670000,115,6,48,15.11570222,0,0,0,2,2,2,0
6,Singer,High School,True,True,1982-11-22,True,21103000,633,47,43,16.86492577,4,32,0,2,7,2,0
7,Idol,High School,True,False,1984-02-09,False,52758000,362,63,41,17.78122598,6,46,2,0,5,4,0
8,Actor/Actress,Bachelor,False,True,1991-12-11,True,462000,35,0,34,13.04332017,0,0,0,0,0,0,0
9,Actor/Actress,Bachelor,False,False,1984-03-01,True,24661000,576,34,41,17.02073361,3,26,1,1,3,0,0
10,Other,Bachelor,False,False,1987-02-17,True,30929000,247,39,38,17.24720481,2,29,1,1,4,0,2
11,Idol,High School,False,True,2000-10-03,False,20450000,828,47,25,16.83349344,4,29,0,1,7,3,3
12,Singer,Bachelor,False,False,1985-07-26,True,31452000,22,1,40,17.26397313,1,0,0,0,0,0,0
13,Other,Bachelor,False,False,1962-06-16,False,3063000,44,1,63,14.93490539,0,1,0,0,0,0,0
14,Singer,Bachelor,False,False,1990-02-07,False,37329000,622,38,35,17.43528106,5,27,1,2,2,0,1
15,Singer,High School,False,True,1983-06-20,True,17299000,252,32,42,16.66615925,7,18,0,0,6,0,1
16,Singer,High School,True,False,1972-01-01,False,3669000,169,11,53,15.1154297,2,6,0,2,1,0,0
17,Idol,High School,False,False,1993-05-02,False,66457000,456,17,32,18.01206568,2,10,1,1,2,1,0
18,Idol,Bachelor,True,False,1998-07-31,True,9641000,1245,49,27,16.0815354,7,25,1,3,5,4,4
19,Actor/Actress,High School,False,True,1981-09-09,True,3263000,394,12,44,14.99815758,1,8,0,0,3,0,0
20,Actor/Actress,Bachelor,False,False,1986-09-12,True,112999999,576,62,39,18.54289837,5,40,4,1,6,5,1
21,Singer,Bachelor,False,False,1988-04-30,True,9086000,230,14,37,16.02224533,0,4,1,1,6,0,2
22,Actor/Actress,High School,False,False,2000-09-04,True,2768000,635,38,25,14.8336356,3,27,0,2,3,3,0
