post_time,likes,reposts,comments,user_id,repost_message,source,message,type,message_id,quarter
2020-01-07 12:21:00,112345,10290,2009,38,太难过了来一场大雨吧 🐨🦘们快逃啊啊啊啊  ,人民日报,【澳大利亚#超2万只考拉山火中死亡#】据外媒报道，在澳大利亚袋鼠岛大火中，超2万只考拉死亡。3日，丛林大火袭击澳大利亚第三大岛袋鼠岛，烧毁超15万公顷森林。不仅行动缓慢的考拉遭重创，跑跳速度很快的袋鼠也死伤无数。NASA卫星图像显示，#澳洲山火烟雾蔓延至南美洲#。时差视频的微博视频  ,0,1.0,2020-01-01
2020-01-07 14:32:00,26747,22257,24219,58,真的服了 祈求上天下一场大雨 不再有天灾人祸 小动物们也都平安快乐🙏🙏🙏🙏  ,人民日报,【澳大利亚#超2万只考拉山火中死亡#】据外媒报道，在澳大利亚袋鼠岛大火中，超2万只考拉死亡。3日，丛林大火袭击澳大利亚第三大岛袋鼠岛，烧毁超15万公顷森林。不仅行动缓慢的考拉遭重创，跑跳速度很快的袋鼠也死伤无数。NASA卫星图像显示，#澳洲山火烟雾蔓延至南美洲#。时差视频的微博视频  ,0,1.0,2020-01-01
2020-01-08 10:17:00,114056,41965,100044,70,感谢邀请送上这幅“尽力体”春联，愿大家在新的一年里都能为自己的热爱尽最大的努力且收获满满，福气满满！提前祝大家新年快乐！  ,人民日报,【转发参与#春联大作战#，白敬亭手写春联等你拿！】@人民日报 联合@新世相 邀请演员@白敬亭 写的春联是：碧水飞鸿声声笑，青山燃锦簇簇丹。横批：春光大好。祝你眼里有光，生活充满希望！转发并@ 三位好友，说出新年目标，将有机会获得白敬亭书写的春联！快来参加吧↓#家在中国#  http://t.cn/AisSdaTe  http://t.cn/Ais8Tku7 ,0,2.0,2020-01-01
2020-01-08 21:23:00,27612,5479,6589,175,中国游泳队加油💪🏻✊🏻✌🏻，3月份全国冠军赛青岛见！  ,人民日报体育,【中国游泳队冬训开训宣誓，队长孙杨领誓】在1月7日下午国家体育总局召开的备战东京奥运会冬训工作专题会上，中国游泳队进行了开训宣誓，由队长孙杨领誓：中国游泳队将以积极、饱满的态度进行奥运备战，服从队伍管理，遵守队伍纪律，打好体能基础，提高运动成绩。发扬中华体育精神，牢记国家嘱托，忠于使命，拼搏奋斗、砥砺奋进。在东京奥运会上为国争光，为民族争气！http://t.cn/AisaRPpY http://t.cn/z8LMCrE ,0,3.0,2020-01-01
2020-01-10 13:16:00,753,68,62,139,脱贫不是一部分人的事情，是我们共同的责任，欢迎加入#脱贫攻坚战星光行动#。#星光大电影#1月17日20：15 CCTV-6电影频道全国首播 ！  ,人民日报,【纪录电影《星光》，看中国人用梦想的“星光”创造的世界减贫奇迹！】一个萦绕中国人心头千年的梦想，如今实现在即。大型公益项目#脱贫攻坚战星光行动#纪录电影《星光》将于17日在CCTV6电影频道首播。这次，中国电影人再度集结，走过万水千山为你讲述中国扶贫故事！#决胜脱贫#  人民日报的微博视频  ,3,4.0,2020-01-01
2020-01-10 13:29:00,7086,3612,4700,9,#脱贫攻坚战星光行动#走遍千山万水，每一个地方都有不同的温暖和感动，这是我们珍贵的回忆。#星光大电影#1月17日20：15 CCTV-6电影频道全国首播 ！  ,人民日报,【纪录电影《星光》，看中国人用梦想的“星光”创造的世界减贫奇迹！】一个萦绕中国人心头千年的梦想，如今实现在即。大型公益项目#脱贫攻坚战星光行动#纪录电影《星光》将于17日在CCTV6电影频道首播。这次，中国电影人再度集结，走过万水千山为你讲述中国扶贫故事！#决胜脱贫#  人民日报的微博视频  ,3,4.0,2020-01-01
2020-01-10 13:31:00,5707,222,588,53,#脱贫攻坚战星光行动#纪录电影《星光》，把温暖的故事，讲给你们听。#星光大电影#1月17日20：15 CCTV-6电影频道全国首播 ！  ,人民日报,【纪录电影《星光》，看中国人用梦想的“星光”创造的世界减贫奇迹！】一个萦绕中国人心头千年的梦想，如今实现在即。大型公益项目#脱贫攻坚战星光行动#纪录电影《星光》将于17日在CCTV6电影频道首播。这次，中国电影人再度集结，走过万水千山为你讲述中国扶贫故事！#决胜脱贫#  人民日报的微博视频  ,3,4.0,2020-01-01
2020-01-10 13:34:00,10723,11545,11263,46,#脱贫攻坚战星光行动#走遍千山万水，每一个地方都有不同的温暖和感动，这是我们珍贵的回忆。#星光大电影#1月17日20：15 CCTV-6电影频道全国首播 ！  ,人民日报,【纪录电影《星光》，看中国人用梦想的“星光”创造的世界减贫奇迹！】一个萦绕中国人心头千年的梦想，如今实现在即。大型公益项目#脱贫攻坚战星光行动#纪录电影《星光》将于17日在CCTV6电影频道首播。这次，中国电影人再度集结，走过万水千山为你讲述中国扶贫故事！#决胜脱贫#  人民日报的微博视频  ,3,4.0,2020-01-01
2020-01-10 14:54:00,67062,56124,29709,20,#脱贫攻坚战星光行动#带给我很多温暖和感动，点点滴滴都记在心里，加入我们，你就是星光！#星光大电影#1月17日20：15 CCTV-6电影频道全国首播 ！  ,人民日报,【纪录电影《星光》，看中国人用梦想的“星光”创造的世界减贫奇迹！】一个萦绕中国人心头千年的梦想，如今实现在即。大型公益项目#脱贫攻坚战星光行动#纪录电影《星光》将于17日在CCTV6电影频道首播。这次，中国电影人再度集结，走过万水千山为你讲述中国扶贫故事！#决胜脱贫#  人民日报的微博视频  ,3,4.0,2020-01-01
2020-01-10 15:30:00,231130,106183,40002,90,#脱贫攻坚战星光行动#有星光，有感动，更有温暖。温暖的故事，讲给你们听。#星光大电影# 1月17日  20:15 CCTV-6   电影频道全国首播！  ,人民日报,【纪录电影《星光》，看中国人用梦想的“星光”创造的世界减贫奇迹！】一个萦绕中国人心头千年的梦想，如今实现在即。大型公益项目#脱贫攻坚战星光行动#纪录电影《星光》将于17日在CCTV6电影频道首播。这次，中国电影人再度集结，走过万水千山为你讲述中国扶贫故事！#决胜脱贫#  人民日报的微博视频  ,3,4.0,2020-01-01
